affil_name,status,valid_ids,affil_names_valid,invalid_ids,affil_names_invalid,eid,author,affil_city
"Fondation Electricite de France (EDF), CentraleSupelec, Universite Paris-Saclay",In HAL (Valid),"419361, 411575",Université Paris-Saclay | CentraleSupélec,,,2-s2.0-85016177939,Z.G. Zeng,
"Ecole Centrale Pekin, Beihang University",In HAL (Valid),"411674, 302496, 217732",Ecole Centrale de Pékin | Fondation Bru | Beihang University [BUAA],,,2-s2.0-85180543234,Jinming Liu,Beijing
"Université Paris-Saclay, CentraleSupélec, Laboratory of Industrial Engineering",In HAL (Valid),"419361, 411575",CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85180543234,Jakob Puchinger,Gif-sur-Yvette
"EM Normandie Business School, Métis Lab",In HAL (Valid),"150910, 301735",Métis Lab EM Normandie | École de Management de Normandie [EM Normandie],,,2-s2.0-85180543234,Jakob Puchinger,Clichy
"School of Architecture, Harbin Institute of Technology",In HAL (Valid),380001,Harbin Institute of Technology [HIT],,,2-s2.0-85178143927,Ding Mao,Harbin
"Key Laboratory of Cold Region Urban and Rural Human Settlement Environment Science and Technology, Ministry of Industry and Information Technology",Not in HAL,,,,,2-s2.0-85178143927,Ding Mao,Harbin
"CentraleSupélec, université Paris-Saclay, Laboratoire Genie Industriel",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85176261850,David Lowing,Gif-sur-Yvette
"Univ Lyon, UJM Saint-Etienne, GATE UMR 5824",In HAL (Valid),"441569, 33804, 300284, 1169844",Université Lumière - Lyon 2 [UL2] | Université Jean Monnet - Saint-Étienne [UJM] | Centre National de la Recherche Scientifique [CNRS] | Groupe d'Analyse et de Théorie Economique Lyon - Saint-Etienne [GATE Lyon Saint-Étienne],,,2-s2.0-85176261850,David Lowing,Saint- Etienne
"Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances pour la e-Santé (LIMICS), Université Sorbonne Paris Nord, Sorbonne Université, Inserm",In HAL (Valid),"303623, 581146, 413221",Université Sorbonne Paris Nord | Sorbonne Université [SU] | Institut National de la Santé et de la Recherche Médicale [INSERM],,,2-s2.0-85167357118,Emmanuelle Kempf,Paris
"Department of Medical Oncology, Assistance Publique – Hôpitaux de Paris, Henri Mondor and Albert Chenevier Teaching Hospital, Université Paris Est Créteil",In HAL (Valid),"300068, 420786",Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP] | Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],,,2-s2.0-85167357118,Emmanuelle Kempf,Créteil
"IT Department, Assistance Publique – Hôpitaux de Paris, Innovation and Data",In HAL (Valid),300068,Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP],,,2-s2.0-85167357118,Sonia Priou,Paris
"Université Paris-Saclay, CentraleSupélec, Laboratoire Génie Industriel",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85167357118,Sonia Priou,Gif-sur-Yvette
"Department of Digestive Surgery, Assistance Publique – Hôpitaux de Paris, Henri Mondor and Albert Chenevier Teaching Hospital, Université Paris Est Créteil",In HAL (Valid),"300068, 420786",Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP] | Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],,,2-s2.0-85167357118,Alexis Laurent,Créteil
"Department of Digestive Surgery, Assistance Publique – Hôpitaux de Paris, Cochin Teaching Hospital, Université Paris City",In HAL (Valid),300068,Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP],,,2-s2.0-85167357118,Stylianos Tzedakis,Paris
"Department of Medical Informatics, Assistance Publique – Hôpitaux de Paris, Centre-Université de Paris (APHP-CUP), Université de Paris",In HAL (Valid),"300068, 420786",Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP] | Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],,,2-s2.0-85167357118,Gilles Chatellier,Paris
"Department of Medical Oncology, Assistance Publique – Hôpitaux de Paris, Tenon Teaching Hospital, Université Sorbonne",In HAL (Valid),"300068, 413221",Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP] | Sorbonne Université [SU],,,2-s2.0-85167357118,Gilles Galula,Paris
"Department of Medical Information, Assistance Publique – Hôpitaux de Paris",In HAL (Valid),300068,Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP],,,2-s2.0-85167357118,Rémi Flicoteaux,Paris
"Laboratoire Genie Industriel, CentraleSupélec, Université́ Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85177747258,Tjark Gall,Gif-Sur-Yvette
IRT SystemX,In HAL (Valid),363822,IRT SystemX,,,2-s2.0-85177747258,Tjark Gall,Gif-Sur-Yvette
"Assistance Publique – Hôpitaux de Paris, Innovation and Data, IT Department",In HAL (Valid),300068,Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP],,,2-s2.0-85177175800,Etienne Guével,Paris
"Assistance Publique – Hôpitaux de Paris, Department of medical information",In HAL (Valid),300068,Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP],,,2-s2.0-85177175800,Rémi Flicoteaux,Paris
"Université Sorbonne Paris Nord, Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances pour la e-Santé, LIMICS",In HAL (Valid),"303623, 1001042, 581146, 413221",Université Sorbonne Paris Nord | Sorbonne Université [SU] | Institut National de la Santé et de la Recherche Médicale [INSERM] | Laboratoire d'Informatique Médicale et Ingénierie des Connaissances en e-Santé [LIMICS],,,2-s2.0-85177175800,Xavier Tannier,Paris
"Université Paris Est Créteil, Assistance Publique – Hôpitaux de Paris, Department of medical oncology, Henri Mondor and Albert Chenevier University Hospital",In HAL (Valid),"300068, 420786",Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP] | Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],,,2-s2.0-85177175800,Emmanuelle Kempf,Créteil
"Université Paris CIté, Department of medical informatics, Assistance Publique Hôpitaux de Paris, Centre-Université de Paris (APHP-CUP)",In HAL (Valid),"557826, 300068",Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP] | Université Paris Cité [UPCité],,,2-s2.0-85177175800,Gilles Chatellier,Paris
International Space University,In HAL (Valid),80099,International Space University [ISU],,,2-s2.0-85168485820,Paola Breda,Illkirch-Graffenstaden
"Université Paris-Saclay, CentraleSupélec, Industrial Engineering Research Department",In HAL (Valid),"419361, 411575",CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85166528556,Camille Megy,Gif-Sur-Yvette
IFP Energies nouvelles,In HAL (Valid),300006,IFP Energies nouvelles [IFPEN],,,2-s2.0-85166528556,Camille Megy,Rueil-Malmaison
IFP School,In HAL (Valid),301739,IFP School,,,2-s2.0-85166528556,Camille Megy,Rueil-Malmaison
"City, University of London, Department of Economics",In HAL (Valid),"138782, 442694",University of London [London] | City University London,,,2-s2.0-85166528556,Olivier Massol,London
"Laboratoire Génie Industriel (LGI), Université Paris-Saclay, CentraleSupélec",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85161946383,Laura Mariana Reyes Madrigal,Gif-sur-Yvette
"Anthropolis Chair, IRT SystemX",In HAL (Valid),363822,IRT SystemX,,,2-s2.0-85161946383,Laura Mariana Reyes Madrigal,Palaiseau
"Assistance Publique–Hôpitaux de Paris, Innovation and Data, IT Department",In HAL (Valid),300068,Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP],,,2-s2.0-85175579452,Etienne Guével,Paris
"CentraleSupélec, Laboratoire Génie Industriel, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85175579452,Sonia Priou,Gif-sur-Yvette
